FIGHTER1,FIGHTER2,WINNER,RATING1_BEFORE,RATING2_BEFORE,RATING1_AFTER,RATING2_AFTER,EVENT,DATE,TIME_FORMAT,ROUND,TIMESTAMP,FIGHTER1_OUTCOME,FIGHTER2_OUTCOME,TOTAL_TIME_MINUTES,TOTAL_TIME_SECONDS
Dominick Reyes,Anthony Smith,Dominick Reyes,1627.5360885880104,1594.784272279052,1668.306580707436,1554.0137801596263,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),2,4:46,1,0,9.766666666666667,586.0
Movsar Evloev,Aljamain Sterling,Movsar Evloev,1797.0973315361873,1876.4533265558205,1852.2004711070076,1821.3501869850002,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Chris Weidman,Eryk Anders,Eryk Anders,1670.7160607955161,1536.772518125492,1609.1789169773433,1598.3096619436649,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),2,4:51,0,1,9.85,591.0
Cody Durden,Joshua Van,Joshua Van,1580.599873800736,1581.83894038843,1535.7603575346486,1626.6784566545175,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Michael Chiesa,Max Griffin,Michael Chiesa,1695.02343410726,1601.430933747978,1724.501488507374,1571.9528793478642,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),3,1:56,1,0,11.933333333333334,716.0
Clay Guida,Chase Hooper,Chase Hooper,1481.2336647442755,1592.7540506292216,1453.6494289179532,1620.338286455544,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),1,3:41,0,1,3.683333333333333,221.0
Kennedy Nzechukwu,Lukasz Brzeski,Kennedy Nzechukwu,1559.4341566803319,1465.1871269308258,1592.518098107338,1432.1031855038198,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),1,4:51,1,0,4.85,291.0
Vicente Luque,Themba Gorimbo,Vicente Luque,1710.0208745092923,1626.3088305023193,1740.5654382767393,1595.7642667348723,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),1,0:52,1,0,0.8666666666666667,52.0
Kiru Sahota,DongHun Choi,DongHun Choi,1500.0,1500.0,1455.0,1545.0,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd + OT (5-5-5-5),1,2:36,0,1,2.6,156.0
Volkan Oezdemir,Carlos Ulberg,Carlos Ulberg,1658.846066351861,1698.8228541367878,1619.0011464124009,1738.667774076248,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Petr Yan,Deiveson Figueiredo,Petr Yan,1789.8177928655887,1857.6901543191739,1843.4985029793975,1804.009444205365,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,5 Rnd (5-5-5-5-5),5,5:00,1,0,25.0,1500.0
Yan Xiaonan,Tabatha Ricci,Yan Xiaonan,1673.249026772436,1665.580911888371,1717.2560106087542,1621.573928052053,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Song Kenan,Muslim Salikhov,Muslim Salikhov,1514.0157773974322,1615.7883366836165,1481.8328902288722,1647.9712238521765,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),1,3:49,0,1,3.816666666666667,229.0
Wang Cong,Gabriella Fernandes,Gabriella Fernandes,1538.4023741437209,1435.1251537194685,1486.8504048895402,1486.6771229736491,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),2,3:49,0,1,8.816666666666666,529.0
Zhang Mingyang,Ozzy Diaz,Zhang Mingyang,1545.0,1500.0,1584.2039558783622,1460.7960441216378,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),1,2:25,1,0,2.4166666666666665,145.0
Shi Ming,Feng Xiaocan,Shi Ming,1500.0,1500.0,1545.0,1455.0,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd + OT (5-5-5-5),3,0:46,1,0,10.766666666666667,646.0
Lone'er Kavanagh,Jose Ochoa,Lone'er Kavanagh,1500.0,1500.0,1545.0,1455.0,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Xiao Long,Quang Le,Xiao Long,1480.0,1471.186387729751,1523.858702116069,1427.327685613682,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),3,1:28,1,0,11.466666666666667,688.0
Maheshate,Nikolas Motta,Nikolas Motta,1465.0823922789705,1520.4302471032756,1427.1910369176078,1558.3216024646383,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Baergeng Jieleyisi,SuYoung You,SuYoung You,1500.0,1500.0,1455.0,1545.0,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd + OT (5-5-5-5),3,5:00,0,1,15.0,900.0
Nyamjargal Tumendemberel,Carlos Hernandez,Carlos Hernandez,1500.0,1448.0448737828735,1477.0313180344046,1471.0135557484691,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Jon Jones,Stipe Miocic,Jon Jones,2072.6741354406045,1903.6949019765202,2097.364569037344,1879.0044683797803,UFC 309: Jones vs. Miocic,2024-11-16,5 Rnd (5-5-5-5-5),3,4:29,1,0,14.483333333333333,869.0
Jonathan Martinez,Marcus McGhee,Marcus McGhee,1737.6560050710036,1601.0966237406192,1675.8266265369973,1662.9260022746255,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Charles Oliveira,Michael Chandler,Charles Oliveira,1912.4488483087487,1591.1592503268782,1924.682782343069,1578.925316292558,UFC 309: Jones vs. Miocic,2024-11-16,5 Rnd (5-5-5-5-5),5,5:00,1,0,25.0,1500.0
Bo Nickal,Paul Craig,Bo Nickal,1602.8424436765347,1577.5095678384664,1644.567121462143,1535.7848900528581,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Viviane Araujo,Karine Silva,Viviane Araujo,1559.927875448946,1643.24050120069,1615.5163858803849,1587.6519907692511,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Mauricio Ruffy,James Llontop,Mauricio Ruffy,1547.679789674961,1441.920550704099,1579.3897762384083,1410.2105641406517,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
David Onama,Roberto Romero,David Onama,1611.3587536614473,1500.0,1642.4099394283894,1468.9488142330579,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Marcin Tybura,Jhonata Diniz,Marcin Tybura,1658.6856792946098,1593.4084849641288,1679.0431070203388,1573.0510572383998,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),2,5:00,1,0,10.0,600.0
Mickey Gall,Ramiz Brahimaj,Ramiz Brahimaj,1434.9356657024741,1452.30908586058,1392.1840045728025,1495.0607469902516,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),1,2:55,0,1,2.9166666666666665,175.0
Bassil Hafez,Oban Elliott,Oban Elliott,1533.3782980508638,1586.3937669264956,1495.192081377562,1624.5799835997973,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),3,0:40,0,1,10.666666666666666,640.0
Jim Miller,Damon Jackson,Jim Miller,1599.220967099441,1523.9337750085072,1630.6863766578301,1492.468365450118,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),1,2:44,1,0,2.7333333333333334,164.0
Veronica Hardy,Eduarda Moura,Eduarda Moura,1615.9121496660457,1516.7653072146377,1558.4081995413273,1574.269257339356,UFC 309: Jones vs. Miocic,2024-11-16,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Tresean Gore,Antonio Trocoli,Tresean Gore,1464.2064670647167,1455.0,1503.146781385712,1416.0596856790046,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),1,1:23,1,0,1.3833333333333333,83.0
Neil Magny,Carlos Prates,Carlos Prates,1693.3135101550004,1654.7382414700942,1643.3376550485093,1704.7140965765852,UFC Fight Night: Magny vs. Prates,2024-11-09,5 Rnd (5-5-5-5-5),1,4:50,0,1,4.833333333333333,290.0
Gaston Bolanos,Cortavious Romious,Gaston Bolanos,1488.8782779749235,1500.0,1535.3182761676294,1453.5600018072942,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
